Code,Item Description,Code and Description,UOM,Quantity Requested,Unit Price,Total Cost,Facility Level,Region,Requesting Facility,Month
HH027300,Catheter Foley's retention 30cc FG 16,HH027300 Catheter Foley's retention 30cc FG 16,Each,300,394.23202,118269.606,District Hospital,North ,Rumphi DHO,January-23
HH027600,Catheter Foley's retention 30cc FG 18,HH027600 Catheter Foley's retention 30cc FG 18,Each,200,768.29268,153658.536,District Hospital,North ,Rumphi DHO,January-23
HH075601,IV Giving Sets 20 drops,HH075601 IV Giving Sets 20 drops,Each,1000,188.05971,188059.71,District Hospital,North ,Rumphi DHO,January-23
HH077700,Glove disposable powdered latex medium,HH077700 Glove disposable powdered latex medium,100,400,8304.39128,3321756.512,District Hospital,North ,Rumphi DHO,January-23
HH108000,Needle spinal disposable Luer 23g x 10cm cutting bevel/penci,HH108000 Needle spinal disposable Luer 23g x 10cm cutting bevel/penci,Each,200,504.87805,100975.61,District Hospital,North ,Rumphi DHO,January-23
HH124800,"Scalpel blade size 23 (individually wrapped),Carbon steel","HH124800 Scalpel blade size 23 (individually wrapped),Carbon steel",100,20,10000,200000,District Hospital,North ,Rumphi DHO,January-23
HH145200,Syringe insulin 100 IU with needle,HH145200 Syringe insulin 100 IU with needle,Each,2000,82.273,164546,District Hospital,North ,Rumphi DHO,January-23
HH149400,"Syringe, autodestruct, 2ml, disposable, hypoluer with 23g ne","HH149400 Syringe, autodestruct, 2ml, disposable, hypoluer with 23g ne",Each,4000,131.70732,526829.28,District Hospital,North ,Rumphi DHO,January-23
HH150000,"Syringe, autodestruct, 5ml, disposable, hypoluer with 21g ne","HH150000 Syringe, autodestruct, 5ml, disposable, hypoluer with 21g ne",Each,4000,195.36584,781463.36,District Hospital,North ,Rumphi DHO,January-23
HH148800,"Syringe, autodestruct, 10ml, disposable with 21g needle","HH148800 Syringe, autodestruct, 10ml, disposable with 21g needle",Each,5000,275.03463,1375173.15,District Hospital,North ,Rumphi DHO,January-23
KK000600,"Bag tablet dispensing, polythene, disposable 9 x 10cm","KK000600 Bag tablet dispensing, polythene, disposable 9 x 10cm",50,600,1006.09756,603658.536,District Hospital,North ,Rumphi DHO,January-23
MM039900,"Bottle, Blood Collecting Vacuated, 4ml With Edta K3 Tubes","MM039900 Bottle, Blood Collecting Vacuated, 4ml With Edta K3 Tubes",100,10,10455.114,104551.14,District Hospital,North ,Rumphi DHO,January-23
MM097500,"Dextrose, Citrate Blood Bag,  450ml (Cpda-1;Single; 16 Gauge","MM097500 Dextrose, Citrate Blood Bag,  450ml (Cpda-1;Single; 16 Gauge",Each,20,2525.11745,50502.349,District Hospital,North ,Rumphi DHO,January-23
MM139500,Haemacue Hb 301 - cuvettes,MM139500 Haemacue Hb 301 - cuvettes,50,10,36819.1265,368191.265,District Hospital,North ,Rumphi DHO,January-23
MM163550,Microscope Cover Slip 22mm * 22mm,MM163550 Microscope Cover Slip 22mm * 22mm,200,5,0,0,District Hospital,North ,Rumphi DHO,January-23
MM166200,Microscope Slide Frosted End 75mm X 25mm,MM166200 Microscope Slide Frosted End 75mm X 25mm,50,20,1953.00195,39060.039,District Hospital,North ,Rumphi DHO,January-23
MM192300,Pregnancy Test Kit (Human - Chorionic Gonadotrophin (H,MM192300 Pregnancy Test Kit (Human - Chorionic Gonadotrophin (H,100,10,3921.22965,39212.2965,District Hospital,North ,Rumphi DHO,January-23
MM202200,Glucosticks SD Check,MM202200 Glucosticks SD Check,50,30,12736.45057,382093.5171,District Hospital,North ,Rumphi DHO,January-23
MM215700,"Transfusion Set Blood Administration With Needle, 18g X 1 1/","MM215700 Transfusion Set Blood Administration With Needle, 18g X 1 1/",Each,100,712.77073,71277.073,District Hospital,North ,Rumphi DHO,January-23
PP053400,"Needle, disposable dental, 27g long sharewood","PP053400 Needle, disposable dental, 27g long sharewood",100,10,351.21951,3512.1951,District Hospital,North ,Rumphi DHO,January-23
AA000901,"Acyclovir 200mg, tablets","AA000901 Acyclovir 200mg, tablets",100,5,11585.36585,57926.82925,District Hospital,North ,Chitipa DHO,February-23
AA002700,"Aminophylline 100mg, tablets","AA002700 Aminophylline 100mg, tablets",1000,40,5235.37071,209414.8284,District Hospital,North ,Chitipa DHO,February-23
AA003300,"Amitriptyline 25mg, tablets","AA003300 Amitriptyline 25mg, tablets",100,10,798.06522,7980.6522,District Hospital,North ,Chitipa DHO,February-23
AA003900,"Amlodipine 5mg, tablets","AA003900 Amlodipine 5mg, tablets",100,10,746.34146,7463.4146,District Hospital,North ,Chitipa DHO,February-23
AA004800,"Amoxycillin 250mg, capsules","AA004800 Amoxycillin 250mg, capsules",1000,80,31692.59133,2535407.306,District Hospital,North ,Chitipa DHO,February-23
AA007200,"Aspirin 300mg, tablets","AA007200 Aspirin 300mg, tablets",1000,30,8310.45526,249313.6578,District Hospital,North ,Chitipa DHO,February-23
AA007500,"Aspirin 75mg, tablets","AA007500 Aspirin 75mg, tablets",1000,5,2609.05704,13045.2852,District Hospital,North ,Chitipa DHO,February-23
AA008701,Azithromycin 250mg,AA008701 Azithromycin 250mg,30,10,683.31707,6833.1707,District Hospital,North ,Chitipa DHO,February-23
AA009900,"Bisacodyl 5mg, tablets","AA009900 Bisacodyl 5mg, tablets",1000,10,3849.30663,38493.0663,District Hospital,North ,Chitipa DHO,February-23
AA012000,"Captopril 12.5mg, tablets","AA012000 Captopril 12.5mg, tablets",100,13,942.75372,12255.79836,District Hospital,North ,Chitipa DHO,February-23
AA014400,"Chlorpromazine 100mg,  coated tablets","AA014400 Chlorpromazine 100mg,  coated tablets",1000,10,29524.39024,295243.9024,District Hospital,North ,Chitipa DHO,February-23
AA015600,"Ciprofloxacin 250mg, tablets","AA015600 Ciprofloxacin 250mg, tablets",100,5,3096.28049,15481.40245,District Hospital,North ,Chitipa DHO,February-23
AA015900,"Ciprofloxacin 500mg, tablets","AA015900 Ciprofloxacin 500mg, tablets",100,107,3902.43902,417560.9751,District Hospital,North ,Chitipa DHO,February-23
AA018600,"Cotrimoxazole 480mg, tablets","AA018600 Cotrimoxazole 480mg, tablets",1000,20,20713.4751,414269.502,District Hospital,North ,Chitipa DHO,February-23
AA020400,"Diazepam 5mg, tablets","AA020400 Diazepam 5mg, tablets",100,20,5059.89184,101197.8368,District Hospital,North ,Chitipa DHO,February-23
AA021000,"Diclofenac sodium, 50mg , tablets","AA021000 Diclofenac sodium, 50mg , tablets",1000,10,943.78296,9437.8296,District Hospital,North ,Chitipa DHO,February-23
AA023700,"Erythromycin 250mg, enteric coated tablets","AA023700 Erythromycin 250mg, enteric coated tablets",1000,5,73536.58537,367682.9269,District Hospital,North ,Chitipa DHO,February-23
AA025200,"Ferrous sulphate 200mg / folic acid 250 micrograms, coated t","AA025200 Ferrous sulphate 200mg / folic acid 250 micrograms, coated t",1000,50,17560.97561,878048.7805,District Hospital,North ,Chitipa DHO,February-23
AA027900,"Folic acid 5mg, tablets","AA027900 Folic acid 5mg, tablets",1000,5,4469.26829,22346.34145,District Hospital,North ,Chitipa DHO,February-23
AA029700,"Griseofulvin 250mg, tablets","AA029700 Griseofulvin 250mg, tablets",1000,2,45552.0109,91104.0218,District Hospital,North ,Chitipa DHO,February-23
AA030900,"Hydrochlorothiazide 25mg, tablets","AA030900 Hydrochlorothiazide 25mg, tablets",28,30000,6299.32927,188979878.1,District Hospital,North ,Chitipa DHO,February-23
AA031810,Hydroxurea,AA031810 Hydroxurea,10,35,0,0,District Hospital,North ,Chitipa DHO,February-23
AA032400,"Ibuprofen 200mg, coated tablets","AA032400 Ibuprofen 200mg, coated tablets",1000,100,12278.35366,1227835.366,District Hospital,North ,Chitipa DHO,February-23
AA033600,"Indomethacin 25mg, Capsules","AA033600 Indomethacin 25mg, Capsules",1000,15,6114.92773,91723.91595,District Hospital,North ,Chitipa DHO,February-23
AA036600,"Lisinopril 10mg , tablets","AA036600 Lisinopril 10mg , tablets",28,61,4500,274500,District Hospital,North ,Chitipa DHO,February-23
AA044100,"Metronidazole 200mg, tablets","AA044100 Metronidazole 200mg, tablets",1000,60,7281.10168,436866.1008,District Hospital,North ,Chitipa DHO,February-23
AA045300,"Morphine sulphate 10mg (slow release), tablets","AA045300 Morphine sulphate 10mg (slow release), tablets",60,20,8076.17754,161523.5508,District Hospital,North ,Chitipa DHO,February-23
AA046500,"Nifedipine 20mg (slow release), tablets","AA046500 Nifedipine 20mg (slow release), tablets",100,100,1865.85366,186585.366,District Hospital,North ,Chitipa DHO,February-23
AA048600,"Omeprazole 20mg, Capsules","AA048600 Omeprazole 20mg, Capsules",100,50,1079.37144,53968.572,District Hospital,North ,Chitipa DHO,February-23
AA050100,"Phenobarbitone  30mg, tablets","AA050100 Phenobarbitone  30mg, tablets",1000,25,5571.23668,139280.917,District Hospital,North ,Chitipa DHO,February-23
AA052500,"Prednisolone 5mg, tablets","AA052500 Prednisolone 5mg, tablets",1000,50,8836.90779,441845.3895,District Hospital,North ,Chitipa DHO,February-23
AA054000,"Promethazine hydrochloride 25mg, coated tablets","AA054000 Promethazine hydrochloride 25mg, coated tablets",1000,5,3596.30943,17981.54715,District Hospital,North ,Chitipa DHO,February-23
AA055200,"Pyridoxine (Vitamin B6) 25mg, tablets","AA055200 Pyridoxine (Vitamin B6) 25mg, tablets",1000,33,4106.93348,135528.8048,District Hospital,North ,Chitipa DHO,February-23
AA056400,Resiperidon 1mg,AA056400 Resiperidon 1mg,100,3,1409.41548,4228.24644,District Hospital,North ,Chitipa DHO,February-23
AA056700,"Salbutamol 4mg, tablets","AA056700 Salbutamol 4mg, tablets",1000,50,3224.31098,161215.549,District Hospital,North ,Chitipa DHO,February-23
AA057300,"Sodium valproate 200mg, tablets","AA057300 Sodium valproate 200mg, tablets",1000,1,7682.92683,7682.92683,District Hospital,North ,Chitipa DHO,February-23
AA057900,"Spironolactone 25mg, tablets","AA057900 Spironolactone 25mg, tablets",100,10,3800.95122,38009.5122,District Hospital,North ,Chitipa DHO,February-23
AA062700,"Tramadol hydrochloride 50mg, tablets","AA062700 Tramadol hydrochloride 50mg, tablets",100,50,4829.26829,241463.4145,District Hospital,North ,Chitipa DHO,February-23
AA063000,"Tranexamic acid 500mg, Capsules","AA063000 Tranexamic acid 500mg, Capsules",100,10,65853.65854,658536.5854,District Hospital,North ,Chitipa DHO,February-23
AA064500,"Vitamin B complex strong, Tablets","AA064500 Vitamin B complex strong, Tablets",1000,10,3706.00229,37060.0229,District Hospital,North ,Chitipa DHO,February-23
BB003300,"Adrenaline 1/1000, 1ml","BB003300 Adrenaline 1/1000, 1ml",Each,50,167.35896,8367.948,District Hospital,North ,Chitipa DHO,February-23
BB004500,"Aminophylline 25mg/ml, 10ml","BB004500 Aminophylline 25mg/ml, 10ml",Each,100,482.92683,48292.683,District Hospital,North ,Chitipa DHO,February-23
BB006600,"Atropine sulphate  600 micrograms/ml, 1ml","BB006600 Atropine sulphate  600 micrograms/ml, 1ml",Each,50,156.13384,7806.692,District Hospital,North ,Chitipa DHO,February-23
BB007200,"Benzylpenicillin 3g (5MU), PFR","BB007200 Benzylpenicillin 3g (5MU), PFR",Each,5000,456.05602,2280280.1,District Hospital,North ,Chitipa DHO,February-23
BB009900,"Bupivacaine spinal hyperbaric 0.5%, 4ml ampoule","BB009900 Bupivacaine spinal hyperbaric 0.5%, 4ml ampoule",Each,100,1494.25141,149425.141,District Hospital,North ,Chitipa DHO,February-23
BB010800,"Calcium gluconate 10%, 10ml","BB010800 Calcium gluconate 10%, 10ml",Each,300,844.1535,253246.05,District Hospital,North ,Chitipa DHO,February-23
BB013500,"Ceftriaxone 1g, PFR","BB013500 Ceftriaxone 1g, PFR",Each,2000,300.45607,600912.14,District Hospital,North ,Chitipa DHO,February-23
BB014700,"Chlorpromazine hydrochloride 25mg/ml, 2ml","BB014700 Chlorpromazine hydrochloride 25mg/ml, 2ml",Each,50,439.02439,21951.2195,District Hospital,North ,Chitipa DHO,February-23
BB021600,"Dextrose (glucose) 5%, 1000ml","BB021600 Dextrose (glucose) 5%, 1000ml",Each,200,2414.63415,482926.83,District Hospital,North ,Chitipa DHO,February-23
BB022800,"Dextrose 50%, 50ml","BB022800 Dextrose 50%, 50ml",Each,100,1103.92685,110392.685,District Hospital,North ,Chitipa DHO,February-23
BB024000,"Diazepam 5mg/ml, 2ml","BB024000 Diazepam 5mg/ml, 2ml",Each,500,275.02639,137513.195,District Hospital,North ,Chitipa DHO,February-23
BB024300,"Diclofenac sodium 75mg/ml, 3ml","BB024300 Diclofenac sodium 75mg/ml, 3ml",Each,5000,122.92684,614634.2,District Hospital,North ,Chitipa DHO,February-23
BB035700,Gelatin 500ml pack intravenous infusion,BB035700 Gelatin 500ml pack intravenous infusion,Each,10,9486.17227,94861.7227,District Hospital,North ,Chitipa DHO,February-23
BB036900,"Gentamycin Sulphate 40mg/ml, 2ml","BB036900 Gentamycin Sulphate 40mg/ml, 2ml",Each,5000,175.60976,878048.8,District Hospital,North ,Chitipa DHO,February-23
BB037800,"Haloperidol 5mg/ml, 2ml","BB037800 Haloperidol 5mg/ml, 2ml",Each,100,1406.04623,140604.623,District Hospital,North ,Chitipa DHO,February-23
BB039600,"Hydralazine hydrochloride 20mg/ml, 1ml","BB039600 Hydralazine hydrochloride 20mg/ml, 1ml",Each,200,1097.56098,219512.196,District Hospital,North ,Chitipa DHO,February-23
BB042600,Insulin Biphasic(Intermediate and short acting Insulin 30/70,BB042600 Insulin Biphasic(Intermediate and short acting Insulin 30/70,Each,100,2835.00427,283500.427,District Hospital,North ,Chitipa DHO,February-23
BB042900,"Insulin soluble 100 IU/ml, 10ml","BB042900 Insulin soluble 100 IU/ml, 10ml",Each,200,3884.61366,776922.732,District Hospital,North ,Chitipa DHO,February-23
BB044400,"Ketamine hydrochloride 50mg/ml, 10ml","BB044400 Ketamine hydrochloride 50mg/ml, 10ml",Each,50,3124.07317,156203.6585,District Hospital,North ,Chitipa DHO,February-23
BB046800,"Lignocaine hydrochloride 1%, 25ml","BB046800 Lignocaine hydrochloride 1%, 25ml",Each,48,318.08734,15268.19232,District Hospital,North ,Chitipa DHO,February-23
BB054900,"Metronidazole 5mg/ml, 100ml","BB054900 Metronidazole 5mg/ml, 100ml",Each,1000,768.29268,768292.68,District Hospital,North ,Chitipa DHO,February-23
BB062700,"Pethidine hydrochloride 50mg/1ml, 2ml","BB062700 Pethidine hydrochloride 50mg/1ml, 2ml",Each,500,908.8781,454439.05,District Hospital,North ,Chitipa DHO,February-23
BB063000,"Phenobarbitone sodium 200mg/ml, 1ml","BB063000 Phenobarbitone sodium 200mg/ml, 1ml",Each,100,0,0,District Hospital,North ,Chitipa DHO,February-23
BB063600,"Phytomenadione 10mg/ml, 1ml (Vitamin K)","BB063600 Phytomenadione 10mg/ml, 1ml (Vitamin K)",Each,30,266.15534,7984.6602,District Hospital,North ,Chitipa DHO,February-23
BB063900,"Phytomenadione 2mg/ml, 1ml  (Vitamin K)","BB063900 Phytomenadione 2mg/ml, 1ml  (Vitamin K)",Each,100,878.04878,87804.878,District Hospital,North ,Chitipa DHO,February-23
BB067200,"Propofol 10mg/ml,10ml","BB067200 Propofol 10mg/ml,10ml",Each,200,1510.24376,302048.752,District Hospital,North ,Chitipa DHO,February-23
BB069300,"Sodium chloride 0.9%, 1000ml","BB069300 Sodium chloride 0.9%, 1000ml",Each,800,2210.36968,1768295.744,District Hospital,North ,Chitipa DHO,February-23
BB071400,"Sodium lactate compound (Ringer's lactate), 1000ml","BB071400 Sodium lactate compound (Ringer's lactate), 1000ml",Each,500,1768.68244,884341.22,District Hospital,North ,Chitipa DHO,February-23
BB072600,"Suxamethonium chloride 50mg/ml, 2ml","BB072600 Suxamethonium chloride 50mg/ml, 2ml",Each,100,558.7172,55871.72,District Hospital,North ,Chitipa DHO,February-23
BB074100,Tranexamic Acid 500mg vial,BB074100 Tranexamic Acid 500mg vial,Each,50,3597.56098,179878.049,District Hospital,North ,Chitipa DHO,February-23
BB077100,"Water for injections, 10ml","BB077100 Water for injections, 10ml",Each,2000,219.5122,439024.4,District Hospital,North ,Chitipa DHO,February-23
CC000600,Anti-snakebite serum (for Central and Southern African snake,CC000600 Anti-snakebite serum (for Central and Southern African snake,Each,5,105804.8781,529024.3903,District Hospital,North ,Chitipa DHO,February-23
CC001500,"Rabies vaccine course, (1x 5, 0.5ml/dose PFR and 1x5 vials d","CC001500 Rabies vaccine course, (1x 5, 0.5ml/dose PFR and 1x5 vials d",Each,200,35913.76088,7182752.176,District Hospital,North ,Chitipa DHO,February-23
EE002700,"Amoxycillin 125mg/5ml suspension, PFR to make 100ml","EE002700 Amoxycillin 125mg/5ml suspension, PFR to make 100ml",Each,500,1097.56098,548780.49,District Hospital,North ,Chitipa DHO,February-23
EE004800,"Benzyl benzoate application 25%, 500ml","EE004800 Benzyl benzoate application 25%, 500ml",Each,100,2875.69752,287569.752,District Hospital,North ,Chitipa DHO,February-23
EE007500,Bismuth subgallate compound suppositories,EE007500 Bismuth subgallate compound suppositories,12,10,12380.4878,123804.878,District Hospital,North ,Chitipa DHO,February-23
EE008700,"Calamine lotion aqueous 15%, 500ml","EE008700 Calamine lotion aqueous 15%, 500ml",Each,200,3679.83774,735967.548,District Hospital,North ,Chitipa DHO,February-23
EE011401,"Chlorhexidine digluconate solution 7.1%, 10ml","EE011401 Chlorhexidine digluconate solution 7.1%, 10ml",Each,200,1601.52439,320304.878,District Hospital,North ,Chitipa DHO,February-23
EE012300,"Ciprofloxacin ear/eye drops 0.3mg/ml, 5ml","EE012300 Ciprofloxacin ear/eye drops 0.3mg/ml, 5ml",Each,100,341.65854,34165.854,District Hospital,North ,Chitipa DHO,February-23
EE012900,"Clotrimazole cream 1%, 20g","EE012900 Clotrimazole cream 1%, 20g",Each,300,341.65854,102497.562,District Hospital,North ,Chitipa DHO,February-23
EE015000,Dexamethasone 0.1% and Neomycin 0.35% (as sulphate) eye drop,EE015000 Dexamethasone 0.1% and Neomycin 0.35% (as sulphate) eye drop,Each,300,439.02439,131707.317,District Hospital,North ,Chitipa DHO,February-23
EE015300,"Dexamethasone eye drops 0.1%, 5ml","EE015300 Dexamethasone eye drops 0.1%, 5ml",Each,50,329.26829,16463.4145,District Hospital,North ,Chitipa DHO,February-23
EE016500,Diclofenac Suppositories 25mg infant,EE016500 Diclofenac Suppositories 25mg infant,10,10,405.84462,4058.4462,District Hospital,North ,Chitipa DHO,February-23
EE016521,"Diclofenac Gel, 100mg","EE016521 Diclofenac Gel, 100mg",Each,300,269.4878,80846.34,District Hospital,North ,Chitipa DHO,February-23
EE017700,"Emulsifying Ointment, 500g","EE017700 Emulsifying Ointment, 500g",Each,10,12812.19512,128121.9512,District Hospital,North ,Chitipa DHO,February-23
EE020700,"Gentamicin 0.3% eye drops, 5ml","EE020700 Gentamicin 0.3% eye drops, 5ml",Each,50,155.25965,7762.9825,District Hospital,North ,Chitipa DHO,February-23
EE021300,"Gentian violet paint, aqueous 1%, 500ml","EE021300 Gentian violet paint, aqueous 1%, 500ml",Each,20,5707.31707,114146.3414,District Hospital,North ,Chitipa DHO,February-23
EE022500,Halothane (fluothane),EE022500 Halothane (fluothane),Each,10,28544.47689,285444.7689,District Hospital,North ,Chitipa DHO,February-23
EE023100,"Hydrocortisone eye ointment 1%, 3.5g","EE023100 Hydrocortisone eye ointment 1%, 3.5g",Each,25,1391.61499,34790.37475,District Hospital,North ,Chitipa DHO,February-23
EE023400,"Hydrocortisone skin ointment 1%, 15g","EE023400 Hydrocortisone skin ointment 1%, 15g",Each,200,702.43902,140487.804,District Hospital,North ,Chitipa DHO,February-23
EE028500,"Methylated spirit (70% in Water), 5L","EE028500 Methylated spirit (70% in Water), 5L",Each,20,19402.67149,388053.4298,District Hospital,North ,Chitipa DHO,February-23
EE028800,"Metronidazole oral suspension 200mg /5ml, 100ml","EE028800 Metronidazole oral suspension 200mg /5ml, 100ml",Each,140,1131.7439,158444.146,District Hospital,North ,Chitipa DHO,February-23
EE030900,"Morphine sulphate suspension 5mg/5ml, 500ml","EE030900 Morphine sulphate suspension 5mg/5ml, 500ml",Each,7570,5440,41180800,District Hospital,North ,Chitipa DHO,February-23
EE032700,"Nystatin oral suspension 100,000 IU/ml, 20ml","EE032700 Nystatin oral suspension 100,000 IU/ml, 20ml",Each,100,1179.92707,117992.707,District Hospital,North ,Chitipa DHO,February-23
EE034800,"Paracetamol syrup 120mg/5ml, 100ml","EE034800 Paracetamol syrup 120mg/5ml, 100ml",Each,500,834.14634,417073.17,District Hospital,North ,Chitipa DHO,February-23
EE035100,"Paraffin liquid, 500ml","EE035100 Paraffin liquid, 500ml",Each,5,4336.73476,21683.6738,District Hospital,North ,Chitipa DHO,February-23
EE036600,"Podophyllum paint 10% in compound benzoin tincture, 20ml","EE036600 Podophyllum paint 10% in compound benzoin tincture, 20ml",Each,10,8233.31706,82333.1706,District Hospital,North ,Chitipa DHO,February-23
EE040500,"Salbutamol solution for nebulising 5mg/ml, 30ml","EE040500 Salbutamol solution for nebulising 5mg/ml, 30ml",Each,50,1781.95234,89097.617,District Hospital,North ,Chitipa DHO,February-23
EE040800,"Salbutamol sulphate aerosol inhalation, 100mcg/dose, 200 dos","EE040800 Salbutamol sulphate aerosol inhalation, 100mcg/dose, 200 dos",Each,200,3336.58537,667317.074,District Hospital,North ,Chitipa DHO,February-23
EE042900,"Salicylic acid 5% + sulphur 5% ointment (in EO base),500g","EE042900 Salicylic acid 5% + sulphur 5% ointment (in EO base),500g",Each,20,9878.04878,197560.9756,District Hospital,North ,Chitipa DHO,February-23
EE045600,Silver sulphadiazine cream 1% 50g,EE045600 Silver sulphadiazine cream 1% 50g,Each,50,568.1238,28406.19,District Hospital,North ,Chitipa DHO,February-23
EE047400,"Sunscreen,SPF 50","EE047400 Sunscreen,SPF 50",Each,23,8822.65484,202921.0613,District Hospital,North ,Chitipa DHO,February-23
EE048300,"Tetracycline eye ointment 1%, 3.5g","EE048300 Tetracycline eye ointment 1%, 3.5g",Each,240,371.48317,89155.9608,District Hospital,North ,Chitipa DHO,February-23
EE049500,"Timolol maleate eye drops 0.5%, 5ml","EE049500 Timolol maleate eye drops 0.5%, 5ml",Each,10,536.78049,5367.8049,District Hospital,North ,Chitipa DHO,February-23
FF000900,"Bandage, crepe 10cm 1.4m long, when stretched","FF000900 Bandage, crepe 10cm 1.4m long, when stretched",Each,200,363.0122,72602.44,District Hospital,North ,Chitipa DHO,February-23
FF003300,"Bandage, plaster of paris 15cm X 2.7m  long , when stretched","FF003300 Bandage, plaster of paris 15cm X 2.7m  long , when stretched",12,50,9000,450000,District Hospital,North ,Chitipa DHO,February-23
FF004500,"Bandage, Soft pad orthopaedic(Velband)7.5cm x 4m long, when","FF004500 Bandage, Soft pad orthopaedic(Velband)7.5cm x 4m long, when",Each,500,491.13415,245567.075,District Hospital,North ,Chitipa DHO,February-23
FF006350,"Bandage, WOW 10cm * 4m long, when stretched","FF006350 Bandage, WOW 10cm * 4m long, when stretched",10,20,1072.09198,21441.8396,District Hospital,North ,Chitipa DHO,February-23
FF007800,"Cotton wool, 500g","FF007800 Cotton wool, 500g",Each,100,7134.14634,713414.634,District Hospital,North ,Chitipa DHO,February-23
FF010800,"Gauze, swabs 8-ply 10cm x 10cm","FF010800 Gauze, swabs 8-ply 10cm x 10cm",100,1,2530.99768,2530.99768,District Hospital,North ,Chitipa DHO,February-23
FF014700,"Plaster, elastic adhesive 7.5cm x 5m long, when stretched","FF014700 Plaster, elastic adhesive 7.5cm x 5m long, when stretched",Each,100,991.27112,99127.112,District Hospital,North ,Chitipa DHO,February-23
GF5191,Cefixime 400mg,GF5191 Cefixime 400mg,Each,3000,#N/A,#N/A,District Hospital,North ,Chitipa DHO,February-23
GG000900,"Catgut chromic suture sterile 1,round bodied ½ circle 50mm n","GG000900 Catgut chromic suture sterile 1,round bodied ½ circle 50mm n",12,40,12994.45672,519778.2688,District Hospital,North ,Chitipa DHO,February-23
GG001200,"Catgut chromic suture sterile 2, round bodied ½ circle 50mm","GG001200 Catgut chromic suture sterile 2, round bodied ½ circle 50mm",12,40,10354.01756,414160.7024,District Hospital,North ,Chitipa DHO,February-23
GG009600,"Polyamide monofilament suture sterile 2/0, on 40mm round bod","GG009600 Polyamide monofilament suture sterile 2/0, on 40mm round bod",12,5,19024.39024,95121.9512,District Hospital,North ,Chitipa DHO,February-23
GG020700,Polyglactin 910 Braided Synthetic Surgical Suture Sterile 1,GG020700 Polyglactin 910 Braided Synthetic Surgical Suture Sterile 1,12,20,18566.94551,371338.9102,District Hospital,North ,Chitipa DHO,February-23
GG021000,Polyglactin 910 Braided Synthetic Surgical Suture Sterile 2,GG021000 Polyglactin 910 Braided Synthetic Surgical Suture Sterile 2,12,10,16221.61602,162216.1602,District Hospital,North ,Chitipa DHO,February-23
GG025851,Silk 6/0 cycle reverse cutting 12mm.75cm,GG025851 Silk 6/0 cycle reverse cutting 12mm.75cm,12,1,0,0,District Hospital,North ,Chitipa DHO,February-23
HH007800,Bags colostomy disposable 25.5cm x 13cm,HH007800 Bags colostomy disposable 25.5cm x 13cm,10,5,6359.81215,31799.06075,District Hospital,North ,Chitipa DHO,February-23
HH008100,"Bags urine drainage 2,000ml with outlet","HH008100 Bags urine drainage 2,000ml with outlet",Each,200,659.44417,131888.834,District Hospital,North ,Chitipa DHO,February-23
HH012900,Cannula iv  (winged with injection pot) 16G,HH012900 Cannula iv  (winged with injection pot) 16G,Each,1000,329.26829,329268.29,District Hospital,North ,Chitipa DHO,February-23
HH013200,Cannula iv  (winged with injection pot) 18G,HH013200 Cannula iv  (winged with injection pot) 18G,Each,1000,197.56098,197560.98,District Hospital,North ,Chitipa DHO,February-23
HH013500,Cannula iv  (winged with injection pot) 20G,HH013500 Cannula iv  (winged with injection pot) 20G,Each,3000,199.16459,597493.77,District Hospital,North ,Chitipa DHO,February-23
HH027300,Catheter Foley's retention 30cc FG 16,HH027300 Catheter Foley's retention 30cc FG 16,Each,200,394.23202,78846.404,District Hospital,North ,Chitipa DHO,February-23
HH027600,Catheter Foley's retention 30cc FG 18,HH027600 Catheter Foley's retention 30cc FG 18,Each,200,768.29268,153658.536,District Hospital,North ,Chitipa DHO,February-23
HH075601,IV Giving Sets 20 drops,HH075601 IV Giving Sets 20 drops,Each,2000,188.05971,376119.42,District Hospital,North ,Chitipa DHO,February-23
HH077400,Glove disposable powdered latex large,HH077400 Glove disposable powdered latex large,100,400,2421.5979,968639.16,District Hospital,North ,Chitipa DHO,February-23
HH077700,Glove disposable powdered latex medium,HH077700 Glove disposable powdered latex medium,100,100,8304.39128,830439.128,District Hospital,North ,Chitipa DHO,February-23
HH080700,Glove surgeon's size 7½ sterile,HH080700 Glove surgeon's size 7½ sterile,Each,5000,725.60976,3628048.8,District Hospital,North ,Chitipa DHO,February-23
HH081000,Glove surgeon's size 8 sterile,HH081000 Glove surgeon's size 8 sterile,Each,5000,417.07317,2085365.85,District Hospital,North ,Chitipa DHO,February-23
HH104450,"Nasal Prongs, Adult","HH104450 Nasal Prongs, Adult",Each,100,92.96341,9296.341,District Hospital,North ,Chitipa DHO,February-23
HH108000,Needle spinal disposable Luer 23g x 10cm cutting bevel/penci,HH108000 Needle spinal disposable Luer 23g x 10cm cutting bevel/penci,Each,500,504.87805,252439.025,District Hospital,North ,Chitipa DHO,February-23
HH124200,"Scalpel blade size 21 (individually wrapped),Carbon steel","HH124200 Scalpel blade size 21 (individually wrapped),Carbon steel",100,30,2874.28429,86228.5287,District Hospital,North ,Chitipa DHO,February-23
HH145200,Syringe insulin 100 IU with needle,HH145200 Syringe insulin 100 IU with needle,Each,300,82.273,24681.9,District Hospital,North ,Chitipa DHO,February-23
